match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T206060,SRH Vs MI,SRH,TNatarajan,4,0,60,0,15,4,4,5,2,0
T206060,SRH Vs MI,SRH,UmranMalik,3,0,23,3,7.66,12,2,1,3,2
T206060,SRH Vs MI,SRH,AbhishekSharma,1,0,10,0,10,1,0,1,0,0
T209295,DC Vs PK,PK,LiamLivingstone,4,0,27,3,6.75,8,1,1,2,0
T209295,DC Vs PK,PK,KagisoRabada,3,0,24,1,8,8,1,2,0,0
T209295,DC Vs PK,PK,HarpreetBrar,3,0,29,0,9.66,6,4,1,0,0
T209295,DC Vs PK,PK,RishiDhawan,2,0,17,0,8.5,2,2,0,0,0
T209295,DC Vs PK,PK,ArshdeepSingh,4,0,37,3,9.25,7,3,1,0,1
T209295,DC Vs PK,PK,RahulChahar,4,0,19,0,4.75,14,1,1,0,0
T209295,DC Vs PK,DC,KhaleelAhmed,4,0,43,0,10.75,8,3,3,0,0
T209295,DC Vs PK,DC,AnrichNortje,4,0,29,1,7.25,11,4,0,1,1
T209295,DC Vs PK,DC,LalitYadav,1,0,6,0,6,4,1,0,1,0
T209295,DC Vs PK,DC,ShardulThakur,4,0,36,4,9,10,3,2,3,0
T209295,DC Vs PK,DC,AxarPatel,4,0,14,2,3.5,14,1,0,0,0
T209295,DC Vs PK,DC,KuldeepYadav,3,0,14,2,4.66,9,1,0,0,0
T204939,RR Vs LSG,LSG,MohsinKhan,4,0,43,0,10.75,9,6,1,1,0
T204939,RR Vs LSG,LSG,DushmanthaChameera,3,0,35,0,11.66,7,5,1,0,1
T204939,RR Vs LSG,LSG,AveshKhan,3,0,20,1,6.66,9,3,0,0,0
T204939,RR Vs LSG,LSG,JasonHolder,2,0,12,1,6,3,1,0,0,0
T204939,RR Vs LSG,LSG,RaviBishnoi,4,0,31,2,7.75,9,4,0,1,0
T204939,RR Vs LSG,LSG,MarcusStoinis,1,0,15,0,15,2,2,1,0,0
T204939,RR Vs LSG,LSG,AyushBadoni,1,0,5,1,5,3,0,0,0,0
T204939,RR Vs LSG,LSG,KrunalPandya,2,0,16,0,8,4,1,1,0,0
