team1,team2,winner,margin,won_by,year,match_id
KKR,SRH,SRH,7,wicket,2022,T208105
GT,RR,GT,37,run,2022,T207043
PK,MI,PK,12,run,2022,T208002
CSK,RCB,CSK,23,run,2022,T203601
GT,SRH,SRH,8,wicket,2022,T208211
RR,LSG,RR,3,run,2022,T207999
DC,KKR,DC,44,run,2022,T208705
MI,RCB,RCB,7,wicket,2022,T204746
CSK,SRH,SRH,8,wicket,2022,T209199
PK,GT,GT,6,wicket,2022,T202634
DC,LSG,LSG,6,wicket,2022,T204296
MI,KKR,KKR,5,wicket,2022,T207856
RR,RCB,RCB,4,wicket,2022,T203456
LSG,SRH,LSG,12,run,2022,T204825
PK,CSK,PK,54,run,2022,T206118
GT,DC,GT,14,run,2022,T205181
RR,MI,RR,23,run,2022,T209847
PK,KKR,KKR,6,wicket,2022,T203227
CSK,LSG,LSG,6,wicket,2022,T207058
KKR,RCB,RCB,3,wicket,2022,T203578
RR,SRH,RR,61,run,2022,T205314
LSG,GT,GT,5,wicket,2022,T202349
RCB,PK,PK,5,wicket,2022,T208141
MI,DC,DC,4,wicket,2022,T205838
CSK,KKR,KKR,6,wicket,2022,T201512
GT,CSK,CSK,5,wicket,2023,T208201
GT,MI,GT,62,run,2023,T203496
MI,LSG,MI,81,run,2023,T203571
CSK,GT,CSK,15,run,2023,T206084
RCB,GT,GT,6,wicket,2023,T201605
SRH,MI,MI,8,wicket,2023,T206817
LSG,KKR,LSG,1,run,2023,T203370
CSK,DC,CSK,77,run,2023,T206925
PK,RR,RR,4,wicket,2023,T205037
SRH,RCB,RCB,8,wicket,2023,T202467
DC,PK,DC,15,run,2023,T201082
LSG,MI,LSG,5,run,2023,T208249
GT,SRH,GT,34,run,2023,T208692
CSK,KKR,KKR,6,wicket,2023,T206211
RCB,RR,RCB,112,run,2023,T204453
PK,DC,PK,31,run,2023,T208032
SRH,LSG,LSG,7,wicket,2023,T204737
MI,GT,MI,27,run,2023,T203656
